Day,Parent_organisation,Customer,Customer_Id,SIM_State,Sum_Bytes_upload,Sum_Bytes_download,Sum_Total_Kbytes,Nr._of_Voice_calls,Nr._of_SMS_MO,Nr._of_SMS_payload,Nr._of_SMS_transactional,Nr._of_Transactional_SMS_enh.,Nr._of_SMS_wakeup,Nr._of_SMS_P2P_MO,Nr._of_SMS_P2P_MT,Total_Nr._of_SMS,Nr._of_PS_sessions,Sum_Total_Duration,Nr._of_SIMs
2023-05-10,VFCZ,HARDWARIO,100217240,Active.Test,"50,314",0,49,0,0,0,0,0,0,0,0,0,2,0,2
2023-05-10,VFCZ,HARDWARIO,100217240,Active.Live,"41,767,247","18,627,353","58,979",0,0,0,0,0,0,0,0,0,"1,665",0,779
2023-05-11,VFCZ,HARDWARIO,100217240,Active.Test,"51,667",0,50,0,0,0,0,0,0,0,0,0,2,0,2
2023-05-11,VFCZ,HARDWARIO,100217240,Active.Live,"47,514,379","26,515,635","72,295",0,0,0,0,0,0,0,0,0,"1,583",0,789
2023-05-12,VFCZ,HARDWARIO,100217240,Active.Test,"50,147",0,49,0,0,0,0,0,0,0,0,0,3,0,3
2023-05-12,VFCZ,HARDWARIO,100217240,Active.Live,"48,761,922","25,941,816","72,953",0,0,0,0,0,0,0,0,0,"1,385",0,788
2023-05-13,VFCZ,HARDWARIO,100217240,Active.Test,"54,815",0,54,0,0,0,0,0,0,0,0,0,4,0,3
2023-05-13,VFCZ,HARDWARIO,100217240,Active.Live,"52,014,018","25,966,532","76,153",0,0,0,0,0,0,0,0,0,"1,443",0,791
2023-05-14,VFCZ,HARDWARIO,100217240,Active.Test,"63,183",0,62,0,0,0,0,0,0,0,0,0,2,0,2
2023-05-14,VFCZ,HARDWARIO,100217240,Active.Live,"56,666,644","28,765,925","83,430",0,0,0,0,0,0,0,0,0,"1,599",0,788
2023-05-15,VFCZ,HARDWARIO,100217240,Active.Test,"116,297",0,114,0,0,0,0,0,0,0,0,0,29,0,7
2023-05-15,VFCZ,HARDWARIO,100217240,Active.Live,"67,517,326","34,610,370","99,734",0,0,0,0,0,0,0,0,0,"1,644",0,789
2023-05-16,VFCZ,HARDWARIO,100217240,Active.Test,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5
2023-05-16,VFCZ,HARDWARIO,100217240,Active.Live,"50,363,718","20,781,996","69,478",0,0,0,0,0,0,0,0,0,"1,574",0,780
2023-05-17,VFCZ,HARDWARIO,100217240,Active.Test,"357,731",0,349,0,0,0,0,0,0,0,0,0,10,0,5
2023-05-17,VFCZ,HARDWARIO,100217240,Active.Live,"47,215,729","26,199,099","71,694",0,0,0,0,0,0,0,0,0,"1,378",0,785
2023-05-18,VFCZ,HARDWARIO,100217240,Active.Test,"4,678",0,5,0,0,0,0,0,0,0,0,0,1,0,1
2023-05-18,VFCZ,HARDWARIO,100217240,Active.Live,"31,926,168","10,794,498","41,719",0,0,0,0,0,0,0,0,0,"1,161",0,780
2023-05-19,VFCZ,HARDWARIO,100217240,Active.Test,"32,683",0,32,0,0,0,0,0,0,0,0,0,1,0,1
2023-05-19,VFCZ,HARDWARIO,100217240,Active.Live,"53,239,370","27,827,528","79,167",0,0,0,0,0,0,0,0,0,"1,593",0,793
2023-05-20,VFCZ,HARDWARIO,100217240,Active.Test,"33,072",0,32,0,0,0,0,0,0,0,0,0,1,0,1
2023-05-20,VFCZ,HARDWARIO,100217240,Active.Live,"54,900,656","28,977,507","81,912",0,0,0,0,0,0,0,0,0,"1,395",0,789
2023-05-21,VFCZ,HARDWARIO,100217240,Active.Test,"40,446",0,39,0,0,0,0,0,0,0,0,0,2,0,1
2023-05-21,VFCZ,HARDWARIO,100217240,Active.Live,"51,162,325","25,731,402","75,092",0,0,0,0,0,0,0,0,0,"1,455",0,783
